time,Naive T-cells,helper T-cells,cytotoxic cells,Treg-cells,Naive Dendritic cells,Dendritic cells,Macrophages,Cancer,Necrotic cells,\mu_1,\mu_2,HMGB1,IFN-\gamma,TNF-eta
2739.0,1.0045627977048313,0.9968390230612757,0.999079064910213,1.0029532572641928,1.0501609227446367,0.9940771773854268,0.9985076783495622,0.966397285052039,0.9206305553533827,0.9983269320041008,0.9990445608744564,0.9233564811703752,0.9984019804710768,0.9992563171963893
2740.0,1.0045431363224633,0.996852601585648,0.9990830423584414,1.0029405242259268,1.049956475102461,0.9941025609824036,0.9985141273709804,0.9665432690407402,0.9209328407019173,0.9983341546829894,0.9990486860543109,0.923648406678566,0.9984088630984563,0.9992595359458547
2741.0,1.0045235624358893,0.9968661199136564,0.9990870017328825,1.0029278479437949,1.0497528269076313,0.9941278328196856,0.9985205474653223,0.9666886411111223,0.921234097307771,0.9983413450354772,0.9990527927700311,0.9239393384933732,0.9984157149139357,0.9992627401974387
2742.0,1.0045040756110564,0.9968795783211368,0.9990909430824128,1.0029152281252278,1.0495499751862836,0.9941529934399683,0.998526938772843,0.9668334036347358,0.9215343278815057,0.9983485032182572,0.999056881110383,0.9242292792347387,0.9984225360409115,0.9992659300185214
2743.0,1.004484675415285,0.9968929770817445,0.9990948664529816,1.002902664477485,1.049347916972811,0.9941780433841222,0.9985333014330564,0.9669775589754924,0.9218335351315557,0.9983556293872397,0.9990609511635682,0.924518231520515,0.9984293266004414,0.9992691054758378
2744.0,1.004465361637878,0.9969063166144463,0.9990987724877529,1.0028901569145774,1.0491466498236608,0.9942029829067419,0.9985396355836718,0.9671211095038191,0.9221317217928503,0.9983627236911334,0.9990650030075153,0.9248061979968305,0.9984360870859181,0.9992722666692255
2745.0,1.0044461340543986,0.9969195973259565,0.999102661785933,1.002877705336118,1.0489461712683832,0.9942278122800647,0.9985459413617406,0.9672640575815447,0.9224288905961319,0.998369786278317,0.9990690367202498,0.9250931813055492,0.9984428179627841,0.9992754136955653
2746.0,1.0044269919738678,0.9969328193080556,0.9991065336710969,1.0028653092025301,1.0487464777551239,0.9942525323777814,0.9985522189058519,0.9674064055328613,0.9227250442090602,0.9983768173100336,0.9990730523998149,0.9253791840218031,0.998449518899591,0.9992785465795144
2747.0,1.0044079349896942,0.9969459828396018,0.9991103882339094,1.0028529682394576,1.048547566399484,0.9942771437068163,0.9985584683525045,0.9675481556924941,0.9230201853337578,0.9983838169385252,0.999077050131229,0.9256642087574664,0.9984561900432878,0.9992816653883795
2748.0,1.0043889626979103,0.9969590881981886,0.9991142255657128,1.0028406821734235,1.0483494343283457,0.9943016467706083,0.998564689837475,0.967689310387633,0.9233143166701433,0.9983907853152453,0.9990810299988817,0.9259482581222668,0.9984628315407464,0.9992847701890143
2749.0,1.0043700746971784,0.9969721356601642,0.9991180457585802,1.002828450731809,1.0481520786799035,0.9943260420690961,0.9985708834958232,0.9678298719379381,0.9236074409158844,0.9983977225908649,0.999084992086531,0.9262313347237405,0.9984694435387974,0.9992878610478205
2750.0,1.0043512705887938,0.9969851255006509,0.9991218489053683,1.0028162736428348,1.0479554966037,0.9943503300987021,0.9985770494618973,0.9679698426555452,0.9238995607663512,0.9984046289152785,0.9990889364773015,0.9265134411671873,0.9984760261842653,0.9992909380307486
2751.0,1.0043325499766906,0.996998057993564,0.9991256350997705,1.00280415063554,1.0477596852606563,0.9943745113523166,0.9985831878693388,0.9681092248450701,0.9241906789145684,0.9984115044376096,0.999092863253682,0.9267945800556247,0.9984825796240048,0.9992940012032988
2752.0,1.0043139124674463,0.9970109334116312,0.9991294044363709,1.002792081439763,1.047564641823108,0.9943985863192826,0.9985892988510879,0.9682480208036142,0.9244807980511686,0.9984183493062173,0.9990967724975235,0.9270747539897436,0.9984891040049358,0.9992970506305221
2753.0,1.0042953576702853,0.9970237520264117,0.9991331570106964,1.0027800657861206,1.0473703634748348,0.9944225554853802,0.9985953825393885,0.968386232820769,0.9247699208643452,0.9984251636687018,0.999100664290037,0.9273539655678628,0.9984955994740797,0.9993000863770208
2754.0,1.0042768851970858,0.9970365141083158,0.9991368929192704,1.0027681034059883,1.0471768474110976,0.9944464193328106,0.9986014390657935,0.968523863178622,0.9250580500398052,0.9984319476719105,0.999104538711791,0.9276322173858838,0.9985020661785944,0.9993031085069497
2755.0,1.0042584946623825,0.9970492199266239,0.9991406122596662,1.0027561940314813,1.0469840908386685,0.994470178340181,0.9986074685611696,0.968660914151761,0.9253451882607223,0.9984387014619435,0.9991083958427099,0.9279095120372454,0.9985085042658104,0.9993061170840168
2756.0,1.0042401856833723,0.9970618697495053,0.9991443151305597,1.0027443373954328,1.0467920909758655,0.9944938329824886,0.9986134711557028,0.9687973880072795,0.9256313382076894,0.9984454251841604,0.9991122357620715,0.9281858521128793,0.9985149138832661,0.9993091121714844
2757.0,1.0042219578799187,0.9970744638440384,0.9991480016317827,1.002732533231375,1.046600845052585,0.9945173837311052,0.9986194469789033,0.9689332870047818,0.9259165025586716,0.9984521189831851,0.9991160585485048,0.9284612402011642,0.998521295178744,0.9993120938321699
2758.0,1.0042038108745568,0.9970870024762292,0.9991516718643764,1.0027207812735193,1.0464103503103355,0.9945408310537615,0.9986253961596109,0.9690686133963874,0.9262006839889598,0.998458783002913,0.9991198642799877,0.9287356788878809,0.9985276483003056,0.9993150621284463
2759.0,1.0041857442924975,0.9970994859110306,0.9991553259306438,1.0027090812567352,1.0462206040022703,0.9945641754145313,0.998631318826,0.9692033694267373,0.9264838851711225,0.9984654173865158,0.999123653033845,0.9290091707561673,0.9985339733963278,0.9993180171222438
2760.0,1.004167757551878,0.9971119143280234,0.999158963363312,1.0026974334474554,1.0460316024821996,0.994587417757756,0.9986372151004831,0.9693375573597801,0.9267661088314069,0.9984720222586437,0.9991274250135712,0.9292817184403622,0.9985402702790943,0.9993209589605269
2761.0,1.0041498503534758,0.9971242880183389,0.9991625844584348,1.0026858374041179,1.0458433433315664,0.9946105583781847,0.9986430851116265,0.9694711794162496,0.9270473576179048,0.9984785977669984,0.9991311802527327,0.9295533245001462,0.9985465392103199,0.9993238876757343
2762.0,1.0041320223847652,0.9971366072656821,0.9991661894699547,1.0026742927262435,1.04565582407409,0.9946335976037649,0.9986489289869576,0.969604237811458,0.9273276341801491,0.9984851440572189,0.9991349187939073,0.9298239914965308,0.9985527804264861,0.9993268033063827
